mmsi,vessel_proximity,timestamp
889799564,"[565761000, 218719092, 875832716, 232006548, 538008064, 232345740]",2023-03-15 07:30:00+00
564780000,"[565761000, 563078430]",2023-03-07 02:30:00+00
563078430,"[563078430, 565761000]",2023-03-07 07:30:00+00
352656000,"[352656000, 538008064, 538008084]",2023-03-19 11:30:00+00
218719092,"[218719092, 564654000, 232345740, 564780000]",2023-03-21 18:30:00+00
563014650,"[898998797, 565761000, 538008064, 564654000]",2023-03-18 20:30:00+00
875832716,"[529123000, 563078430, 538008064, 565761000, 232345740]",2023-03-15 15:30:00+00
565761000,"[563078430, 518998309, 352656000]",2023-03-20 14:30:00+00
563078430,"[563078430, 352656000, 564780000]",2023-03-14 15:30:00+00
352656000,[565761000],2023-03-10 08:30:00+00
529123000,"[529123000, 889799564, 232345740, 564654000, 218719092, 518998309]",2023-03-15 09:30:00+00
889799564,"[889799564, 232006548, 563014650, 875832716, 232345740, 218719092]",2023-03-15 05:30:00+00
564780000,[529123000],2023-03-04 15:30:00+00
563014650,"[563014650, 564780000, 563078430]",2023-03-06 23:30:00+00
564654000,"[563078430, 563014650, 565761000]",2023-03-09 01:30:00+00
875832716,"[875832716, 563078430, 232006548, 529123000, 889799564]",2023-03-16 13:30:00+00
563014650,"[565761000, 563078430]",2023-03-08 19:30:00+00
529123000,"[529123000, 232006548, 518998309, 563078430, 563014650, 564780000]",2023-03-17 19:30:00+00
564654000,"[352656000, 563078430, 564780000]",2023-03-06 15:30:00+00
563014650,[565761000],2023-03-11 20:30:00+00
565761000,"[565761000, 564780000, 352656000]",2023-03-23 18:30:00+00
563078430,"[563078430, 538008064, 529123000, 898998797, 232006548]",2023-03-18 06:30:00+00
563078430,"[563078430, 565761000, 564654000]",2023-03-05 13:30:00+00
563078430,"[563078430, 352656000]",2023-03-07 03:30:00+00
565761000,"[563014650, 563078430]",2023-03-11 19:30:00+00
563014650,"[564654000, 352002300]",2023-03-12 22:30:00+00
563014650,"[563014650, 529123000]",2023-03-06 19:30:00+00
564780000,"[564780000, 529123000, 563014650]",2023-03-21 03:30:00+00
563014650,"[518998309, 563014650, 564654000, 538008084]",2023-03-20 02:30:00+00
564780000,"[564654000, 564780000, 218719092, 875832716, 563014650, 518998309]",2023-03-21 22:30:00+00
889799564,"[565761000, 352656000, 232006548, 564780000]",2023-03-15 20:30:00+00
232006548,"[232006548, 352656000, 563078430, 232345740, 875832716, 565761000]",2023-03-22 02:30:00+00
218719092,"[232006548, 518998309, 529123000]",2023-03-22 03:30:00+00
529123000,"[529123000, 875832716, 564780000, 518998309, 232006548]",2023-03-22 13:30:00+00
563078430,"[352656000, 564780000]",2023-03-06 10:30:00+00
352656000,"[352656000, 564780000]",2023-03-05 18:30:00+00
565761000,"[565761000, 564654000, 563014650]",2023-03-06 13:30:00+00
563078430,"[565761000, 564780000, 352656000]",2023-03-13 02:30:00+00
564780000,"[564780000, 563078430, 232345740, 529123000]",2023-03-22 12:30:00+00
529123000,"[563078430, 564654000, 518998309, 352656000, 538008064]",2023-03-18 01:30:00+00
565761000,"[563014650, 518998309, 564780000]",2023-03-20 20:30:00+00
564654000,"[564654000, 232345740, 232006548, 564780000, 518998309]",2023-03-21 17:30:00+00
564654000,"[352656000, 529123000, 563078430]",2023-03-14 12:30:00+00
563078430,"[232006548, 538008064, 565761000, 875832716]",2023-03-15 16:30:00+00
563078430,"[564780000, 563014650]",2023-03-23 20:30:00+00
232345740,"[529123000, 232345740, 875832716, 564654000, 218719092, 889799564]",2023-03-15 03:30:00+00
563014650,"[565761000, 529123000]",2023-03-07 16:30:00+00
232006548,"[564780000, 875832716, 518998309, 564654000]",2023-03-21 20:30:00+00
538008064,"[538008064, 563014650, 352656000, 529123000]",2023-03-19 21:30:00+00
564780000,"[563078430, 564654000, 232006548, 232345740, 565761000, 529123000]",2023-03-17 18:30:00+00
352656000,"[352656000, 565761000, 564654000, 563078430]",2023-03-19 17:30:00+00
529123000,"[529123000, 352656000]",2023-03-06 05:30:00+00
232006548,"[232345740, 564780000, 518998309]",2023-03-22 07:30:00+00
518998309,"[563078430, 565761000]",2023-03-23 15:30:00+00
529123000,[],2023-03-05 04:30:00+00
352656000,"[352656000, 875832716, 232006548, 564780000, 529123000]",2023-03-16 11:30:00+00
564654000,[],2023-03-12 09:18:23+00
564780000,[565761000],2023-03-09 09:30:00+00
232006548,"[232006548, 352656000, 563014650, 564654000, 529123000]",2023-03-17 23:30:00+00
563078430,"[563078430, 564654000, 898998797, 563014650, 518998309]",2023-03-16 14:30:00+00
538008084,"[538008084, 529123000, 563014650]",2023-03-19 08:30:00+00
352002300,"[563078430, 565761000]",2023-03-12 20:30:00+00
